"path","bytes","modified"
"docs\qa\screenshots\2026-06-11-rainbow-3d-prototype\desktop.png","824082","2026-06-21T11:47:51"
"docs\qa\screenshots\2026-06-11-rainbow-3d-prototype\mobile.png","352289","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\desktop-1440-v8.png","1687503","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\desktop-1440-v9.png","1475955","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\mobile-390-cdp-form-v1.png","115257","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\mobile-390-cdp-v1.png","431261","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\mobile-390-v11.png","458186","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\mobile-390-v8.png","392577","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\tablet-768-v8.png","939325","2026-06-21T11:47:51"
"docs\qa\screenshots\dimri-yama-preview\tablet-768-v9.png","824146","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\dimri-yama-sde-dov-desktop-1440-collapsed.png","689454","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\dimri-yama-sde-dov-desktop-1440-open.png","728352","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\dimri-yama-sde-dov-mobile-390-collapsed.png","477616","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\dimri-yama-sde-dov-mobile-390-open.png","504811","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\dimri-yama-sde-dov-tablet-768-collapsed.png","451002","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\dimri-yama-sde-dov-tablet-768-open.png","448570","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\rainbow-tel-aviv-desktop-1440-collapsed.png","591557","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\rainbow-tel-aviv-desktop-1440-open.png","626647","2026-06-21T11:47:51"
"docs\qa\screenshots\floating-actions-2026-06-19\rainbow-tel-aviv-mobile-390-collapsed.png","423254","2026-06-21T11:47:51"
