id,lang,meital_text_approved,confirm_list_answered,availability_and_price_rechecked_date,photos_uploaded,slug_approved,visual_qa_390_768_1280,schema_validated,verify_script_passed,cta_links_checked,published_date
L01,he,,,,,,,,,,
L01,en,,,,,,,,,,
L07,he,,,,,,,,,,
L07,en,,,,,,,,,,
L08,he,,,,,,,,,,
L08,en,,,,,,,,,,
L05,he,,,,,,,,,,
L05,en,,,,,,,,,,
L04,he,,,,,,,,,,
L04,en,,,,,,,,,,
L06,he,,,,,,,,,,
L06,en,,,,,,,,,,
L02,he,,,,,,,,,,
L02,en,,,,,,,,,,
L03,he,,,,,,,,,,
L03,en,,,,,,,,,,
L09,he,,,,,,,,,,
L09,en,,,,,,,,,,
L10,he,,,,,,,,,,
L10,en,,,,,,,,,,
L11,he,,,,,,,,,,
L11,en,,,,,,,,,,
